strategy,symbol,timeframe,type,lot_size,entry_time,entry_price,exit_price,exit_time,pnl_usd,pnl_pips,exit_reason,duration_mins,win,module_id,trade_id
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-01-16 17:00:00,211.477,211.495,2026-01-16 22:00:00,6.31,1.8,Cut Before Rollover (MT5 22:00),300,True,Opt_GBPJPY_1H_US,29
1h 歐加美盤高盈虧收租 (v5.10 自適應帶寬),EURCAD,1h,Sell (Short Call),1.0,2026-01-16 15:00:00,1.61472,1.61419,2026-01-16 22:00:00,33.28,5.3,Cut Before Rollover (MT5 22:00),420,True,Opt_EURCAD_1H_US,30
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-01-16 16:00:00,0.53595,0.53675,2026-01-16 22:00:00,94.73,8.0,Cut Before Rollover (MT5 22:00),360,True,Opt_AUDCHF_1H_DAY,31
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Buy (Short Put),1.0,2026-01-16 17:00:00,0.66801,0.66842,2026-01-16 22:00:00,36.0,4.1,Cut Before Rollover (MT5 22:00),300,True,Opt_AUDUSD_1H_DAY,32
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Sell (Short Call),1.0,2026-01-20 06:00:00,0.53631,0.53528,2026-01-20 09:00:00,123.4,10.3,BB Middle (Mean Reversion),180,True,Opt_AUDCHF_1H_DAY,33
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-01-20 10:00:00,0.53282,0.53216,2026-01-20 22:00:00,-87.28,-6.6,Cut Before Rollover (MT5 22:00),720,False,Opt_AUDCHF_1H_DAY,34
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-01-21 13:00:00,211.778,212.656,2026-01-21 16:00:00,546.58,87.8,BB Middle (Mean Reversion),180,True,Opt_GBPJPY_1H_US,35
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Sell (Short Call),1.0,2026-01-23 14:00:00,0.68639,0.6889,2026-01-23 19:00:00,-256.14,-25.1,SL (-2.0 ATR),300,False,Opt_AUDUSD_1H_DAY,36
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-01-29 17:00:00,210.342,211.35,2026-01-29 22:00:00,628.25,100.8,Cut Before Rollover (MT5 22:00),300,True,Opt_GBPJPY_1H_US,37
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Buy (Short Put),1.0,2026-01-29 17:00:00,182.303,183.181,2026-01-29 22:00:00,546.58,87.8,BB Middle (Mean Reversion),300,True,Opt_EURJPY_1H_US,38
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Sell (Short Call),1.0,2026-02-03 05:00:00,0.54649,0.54335,2026-02-03 16:00:00,386.43,31.4,BB Middle (Mean Reversion),660,True,Opt_AUDCHF_1H_DAY,39
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-02-03 14:00:00,213.239,212.912,2026-02-03 20:00:00,200.43,32.7,BB Middle (Mean Reversion),360,True,Opt_GBPJPY_1H_US,40
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Sell (Short Call),1.0,2026-02-03 05:00:00,0.70218,0.70002,2026-02-03 20:00:00,211.0,21.6,BB Middle (Mean Reversion),900,True,Opt_AUDUSD_1H_DAY,41
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-02-05 15:00:00,212.757,212.03561,2026-02-05 17:00:00,-458.2,-72.1,SL (-1.5 ATR),120,False,Opt_GBPJPY_1H_US,42
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-02-09 16:00:00,212.328,213.286,2026-02-09 18:00:00,596.84,95.8,BB Middle (Mean Reversion),120,True,Opt_GBPJPY_1H_US,43
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Sell (Short Call),1.0,2026-02-11 16:00:00,0.54987,0.54971,2026-02-11 22:00:00,14.95,1.6,Cut Before Rollover (MT5 22:00),360,True,Opt_AUDCHF_1H_DAY,44
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Sell (Short Call),1.0,2026-02-11 04:00:00,0.71181,0.71249,2026-02-11 22:00:00,-73.0,-6.8,Cut Before Rollover (MT5 22:00),1080,False,Opt_AUDUSD_1H_DAY,45
1h 歐加美盤高盈虧收租 (v5.10 自適應帶寬),EURCAD,1h,Sell (Short Call),1.0,2026-02-12 17:00:00,1.61569,1.61577,2026-02-12 22:00:00,-10.78,-0.8,Cut Before Rollover (MT5 22:00),300,False,Opt_EURCAD_1H_US,46
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Sell (Short Call),1.0,2026-02-18 16:00:00,182.397,182.44,2026-02-18 22:00:00,-32.01,-4.3,Cut Before Rollover (MT5 22:00),360,False,Opt_EURJPY_1H_US,47
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-02-27 15:00:00,0.547,0.54703,2026-02-27 22:00:00,-1.26,0.3,Cut Before Rollover (MT5 22:00),420,False,Opt_AUDCHF_1H_DAY,48
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-03-02 16:00:00,211.207,210.897,2026-03-02 22:00:00,189.75,31.0,Cut Before Rollover (MT5 22:00),360,True,Opt_GBPJPY_1H_US,49
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-03-03 16:00:00,0.54751,0.5501,2026-03-03 22:00:00,317.87,25.9,Cut Before Rollover (MT5 22:00),360,True,Opt_AUDCHF_1H_DAY,50
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Buy (Short Put),1.0,2026-03-23 13:00:00,183.349,184.052,2026-03-23 15:00:00,436.64,70.3,BB Middle (Mean Reversion),120,True,Opt_EURJPY_1H_US,51
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-03-26 15:00:00,0.54765,0.54711,2026-03-26 22:00:00,-72.32,-5.4,Cut Before Rollover (MT5 22:00),420,False,Opt_AUDCHF_1H_DAY,52
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-03-27 15:00:00,212.364,212.826,2026-03-27 17:00:00,285.24,46.2,BB Middle (Mean Reversion),120,True,Opt_GBPJPY_1H_US,53
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-03-31 17:00:00,209.837,210.041,2026-03-31 22:00:00,123.16,20.4,Cut Before Rollover (MT5 22:00),300,True,Opt_GBPJPY_1H_US,54
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Buy (Short Put),1.0,2026-04-02 04:00:00,0.68855,0.68945,2026-04-02 16:00:00,85.0,9.0,BB Middle (Mean Reversion),720,True,Opt_AUDUSD_1H_DAY,55
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-04-03 17:00:00,210.724,210.563,2026-04-03 22:00:00,-106.14,-16.1,Cut Before Rollover (MT5 22:00),300,False,Opt_GBPJPY_1H_US,56
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Sell (Short Call),1.0,2026-04-07 11:00:00,0.55418,0.55613,2026-04-07 22:00:00,-247.64,-19.5,SL (-2.5 ATR),660,False,Opt_AUDCHF_1H_DAY,57
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Sell (Short Call),1.0,2026-04-07 11:00:00,0.6945,0.69713,2026-04-07 22:00:00,-268.0,-26.3,Cut Before Rollover (MT5 22:00),660,False,Opt_AUDUSD_1H_DAY,58
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-04-09 14:00:00,213.352,213.66336,2026-04-09 18:00:00,-200.6,-31.1,SL (-1.5 ATR),240,False,Opt_GBPJPY_1H_US,59
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Sell (Short Call),1.0,2026-04-09 18:00:00,0.55885,0.56013,2026-04-09 22:00:00,-164.57,-12.8,Cut Before Rollover (MT5 22:00),240,False,Opt_AUDCHF_1H_DAY,60
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-04-10 15:00:00,214.174,214.4545,2026-04-10 17:00:00,-181.22,-28.0,SL (-1.5 ATR),120,False,Opt_GBPJPY_1H_US,61
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-04-14 16:00:00,215.753,215.488,2026-04-14 22:00:00,161.48,26.5,Cut Before Rollover (MT5 22:00),360,True,Opt_GBPJPY_1H_US,62
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-04-21 18:00:00,215.331,215.207,2026-04-21 22:00:00,72.9,12.4,Cut Before Rollover (MT5 22:00),240,True,Opt_GBPJPY_1H_US,63
1h 歐加美盤高盈虧收租 (v5.10 自適應帶寬),EURCAD,1h,Buy (Short Put),1.0,2026-04-22 18:00:00,1.60025,1.60014,2026-04-22 22:00:00,-12.94,-1.1,Cut Before Rollover (MT5 22:00),240,False,Opt_EURCAD_1H_US,64
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Buy (Short Put),1.0,2026-04-28 09:00:00,0.71643,0.71794,2026-04-28 18:00:00,146.0,15.1,BB Middle (Mean Reversion),540,True,Opt_AUDUSD_1H_DAY,65
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Sell (Short Call),1.0,2026-04-29 17:00:00,187.248,187.202,2026-04-29 22:00:00,23.9,4.6,Cut Before Rollover (MT5 22:00),300,True,Opt_EURJPY_1H_US,66
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-04-30 15:00:00,0.56059,0.56229,2026-04-30 22:00:00,206.92,17.0,Cut Before Rollover (MT5 22:00),420,True,Opt_AUDCHF_1H_DAY,67
1h 歐加美盤高盈虧收租 (v5.10 自適應帶寬),EURCAD,1h,Sell (Short Call),1.0,2026-05-01 17:00:00,1.59696,1.59324,2026-05-01 21:00:00,263.69,37.2,BB Middle (Mean Reversion),240,True,Opt_EURCAD_1H_US,68
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-05-04 18:00:00,0.56151,0.5619,2026-05-04 22:00:00,43.62,3.9,Cut Before Rollover (MT5 22:00),240,True,Opt_AUDCHF_1H_DAY,69
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Sell (Short Call),1.0,2026-05-05 13:00:00,184.241,184.5095,2026-05-05 15:00:00,-173.68,-26.8,SL (-1.5 ATR),120,False,Opt_EURJPY_1H_US,70
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-05-05 13:00:00,213.483,213.84493,2026-05-05 16:00:00,-232.37,-36.2,SL (-1.5 ATR),180,False,Opt_GBPJPY_1H_US,71
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-05-12 09:00:00,0.5627,0.56384,2026-05-12 12:00:00,137.11,11.4,BB Middle (Mean Reversion),180,True,Opt_AUDCHF_1H_DAY,72
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Buy (Short Put),1.0,2026-05-13 15:00:00,212.955,213.359,2026-05-13 18:00:00,248.8,40.4,BB Middle (Mean Reversion),180,True,Opt_GBPJPY_1H_US,73
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Buy (Short Put),1.0,2026-05-14 16:00:00,184.603,184.797,2026-05-14 22:00:00,116.88,19.4,Cut Before Rollover (MT5 22:00),360,True,Opt_EURJPY_1H_US,74
1h 歐加美盤高盈虧收租 (v5.10 自適應帶寬),EURCAD,1h,Buy (Short Put),1.0,2026-05-14 18:00:00,1.60267,1.60128,2026-05-14 22:00:00,-105.4,-13.9,Cut Before Rollover (MT5 22:00),240,False,Opt_EURCAD_1H_US,75
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-05-14 16:00:00,0.56495,0.5657,2026-05-14 22:00:00,88.5,7.5,Cut Before Rollover (MT5 22:00),360,True,Opt_AUDCHF_1H_DAY,76
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-05-15 08:00:00,0.56293,0.56232,2026-05-15 22:00:00,-81.04,-6.1,Cut Before Rollover (MT5 22:00),840,False,Opt_AUDCHF_1H_DAY,77
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Buy (Short Put),1.0,2026-05-19 17:00:00,184.454,184.586,2026-05-19 22:00:00,77.93,13.2,Cut Before Rollover (MT5 22:00),300,True,Opt_EURJPY_1H_US,78
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-05-20 17:00:00,213.386,213.486,2026-05-20 22:00:00,-67.82,-10.0,Cut Before Rollover (MT5 22:00),300,False,Opt_GBPJPY_1H_US,79
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Sell (Short Call),1.0,2026-05-20 17:00:00,0.71528,0.71596,2026-05-20 22:00:00,-73.0,-6.8,Cut Before Rollover (MT5 22:00),300,False,Opt_AUDUSD_1H_DAY,80
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-05-21 04:00:00,0.56014,0.56192,2026-05-21 15:00:00,216.9,17.8,BB Middle (Mean Reversion),660,True,Opt_AUDCHF_1H_DAY,81
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-05-22 18:00:00,213.876,213.923,2026-05-22 22:00:00,-34.53,-4.7,Cut Before Rollover (MT5 22:00),240,False,Opt_GBPJPY_1H_US,82
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Sell (Short Call),1.0,2026-05-25 17:00:00,0.56195,0.56165,2026-05-25 22:00:00,32.4,3.0,Cut Before Rollover (MT5 22:00),300,True,Opt_AUDCHF_1H_DAY,83
