symbol,tf,session,sigma,sl_atr,spread,trades,wr,pf,pnl,mdd,avg_win,avg_loss,exp,mid_pct,avg_dur
CADCHF,15m,DAY,2.5,2.5,1.1,64,31.2,0.19,-3397.67,3.4,39.94,95.37,-53.09,40.6,122.3
AUDJPY,15m,DAY,2.0,2.0,1.9,143,46.9,0.53,-3398.05,3.7,56.92,94.89,-23.76,50.3,122.1
USDJPY,15m,DAY,2.2,2.0,1.0,128,46.1,0.63,-3406.62,4.39,98.41,133.52,-26.61,46.9,119.5
EURGBP,1h,DAY,2.8,2.0,0.7,61,41.0,0.43,-3413.36,3.75,104.82,167.61,-55.96,16.4,334.4
EURCAD,15m,DAY,2.5,1.5,1.9,88,26.1,0.34,-3423.78,3.49,76.71,79.82,-38.91,28.4,86.2
AUDCAD,15m,DAY,2.0,2.5,1.4,133,48.1,0.41,-3449.74,3.49,37.04,84.35,-25.94,55.6,142.8
NZDUSD,15m,DAY,2.0,2.5,0.9,128,48.4,0.53,-3450.2,3.94,61.85,110.38,-26.95,50.0,145.5
EURCHF,1h,DAY,2.8,2.0,1.2,50,32.0,0.35,-3466.23,3.47,117.79,157.38,-69.32,8.0,326.4
GBPCAD,15m,DAY,2.2,2.0,2.2,115,40.9,0.58,-3472.64,3.71,101.82,121.44,-30.2,45.2,97.7
EURAUD,1h,DAY,2.2,2.5,1.7,117,47.0,0.74,-3478.7,4.32,184.43,219.71,-29.73,28.2,445.1
AUDCAD,1h,DAY,2.0,2.0,1.4,150,48.7,0.68,-3491.72,4.26,101.94,141.99,-23.28,28.7,382.8
EURUSD,1h,DAY,2.5,2.5,0.3,88,52.3,0.7,-3507.08,6.47,176.74,277.07,-39.85,28.4,396.8
NZDCHF,1h,DAY,2.0,2.5,1.5,116,41.4,0.55,-3518.31,3.53,89.53,114.94,-30.33,36.2,431.9
EURCAD,1h,US,2.2,1.5,1.9,114,39.5,0.62,-3538.34,4.03,129.5,135.74,-31.04,21.1,237.9
CADJPY,15m,DAY,2.0,1.5,1.6,138,35.5,0.43,-3540.65,3.66,53.89,69.45,-25.66,37.0,87.2
EURAUD,15m,DAY,2.2,1.5,1.7,121,35.5,0.5,-3540.81,3.6,83.85,91.62,-29.26,36.4,101.0
USDJPY,1h,US,2.2,2.0,1.0,64,43.8,0.49,-3550.7,4.12,121.03,192.76,-55.48,9.4,287.8
AUDNZD,1h,DAY,2.5,2.0,2.0,78,35.9,0.43,-3550.83,3.79,95.5,124.5,-45.52,26.9,450.8
USDCHF,1h,DAY,2.2,2.0,0.6,128,46.1,0.78,-3560.09,4.69,209.69,230.9,-27.81,24.2,329.5
GBPCHF,1h,DAY,3.0,2.5,1.7,25,32.0,0.3,-3572.84,3.57,194.46,301.68,-142.91,8.0,412.8
EURGBP,1h,DAY,2.5,2.0,0.7,101,44.6,0.61,-3584.13,4.07,124.05,163.69,-35.49,25.7,322.0
NZDJPY,15m,DAY,2.0,2.0,1.8,131,44.3,0.48,-3588.9,3.78,56.09,93.73,-27.4,44.3,110.4
EURJPY,1h,DAY,2.2,1.5,1.2,144,43.1,0.75,-3590.95,4.9,171.83,173.71,-24.94,19.4,345.0
NZDUSD,15m,DAY,2.0,2.0,0.9,146,43.2,0.53,-3592.43,4.08,64.25,92.05,-24.61,44.5,123.3
CADCHF,1h,US,2.5,1.5,1.1,75,38.7,0.44,-3612.17,3.61,97.44,139.95,-48.16,12.0,224.8
GBPNZD,1h,DAY,2.8,1.5,3.0,32,28.1,0.43,-3617.73,3.87,305.07,276.67,-113.05,15.6,341.2
USDCHF,1h,US,2.2,1.5,0.6,101,39.6,0.7,-3628.0,4.26,211.04,197.86,-35.92,13.9,243.6
AUDCAD,15m,DAY,2.2,1.5,1.4,138,35.5,0.39,-3631.64,3.67,48.21,67.35,-26.32,35.5,95.1
GBPJPY,1h,DAY,2.0,2.5,2.1,138,50.7,0.82,-3659.15,6.39,230.47,291.06,-26.52,28.3,426.1
AUDCHF,15m,DAY,2.2,2.5,1.0,88,37.5,0.26,-3670.6,3.67,39.05,90.17,-41.71,50.0,156.5
EURNZD,1h,DAY,2.2,2.0,2.8,121,48.8,0.75,-3737.77,4.21,186.9,238.14,-30.89,34.7,436.9
USDCHF,1h,US,2.2,2.5,0.6,84,46.4,0.68,-3754.32,4.21,200.85,257.5,-44.69,16.7,312.9
AUDCHF,1h,US,2.0,1.5,1.0,92,31.5,0.51,-3754.53,3.91,133.03,120.83,-40.81,10.9,249.8
NZDCHF,15m,DAY,2.2,2.5,1.5,85,35.3,0.2,-3758.32,3.76,31.07,85.28,-44.22,47.1,136.8
EURCHF,1h,US,2.5,2.5,1.2,53,28.3,0.35,-3774.49,4.1,135.37,152.76,-71.22,7.5,306.8
EURJPY,1h,DAY,2.2,2.0,1.2,129,48.8,0.75,-3781.69,4.98,176.35,225.63,-29.32,24.0,410.2
GBPCHF,15m,US,2.2,1.5,1.7,47,27.7,0.25,-3781.7,3.91,98.66,148.95,-80.46,25.5,101.5
GBPUSD,1h,US,2.2,2.0,0.8,96,46.9,0.72,-3802.13,5.18,214.07,263.43,-39.61,15.6,304.4
GBPAUD,1h,DAY,2.2,2.5,2.7,115,46.1,0.78,-3805.44,3.92,254.18,278.66,-33.09,29.6,433.6
EURNZD,15m,DAY,2.5,2.0,2.8,68,38.2,0.35,-3815.0,4.13,79.25,139.9,-56.1,42.6,124.2
GBPAUD,1h,DAY,2.2,2.0,2.7,124,41.9,0.78,-3821.07,3.93,264.55,244.14,-30.82,26.6,395.3
GBPUSD,1h,US,2.2,1.5,0.8,103,42.7,0.73,-3823.7,5.13,230.36,236.61,-37.12,14.6,265.6
AUDJPY,15m,DAY,2.0,1.5,1.9,164,41.5,0.51,-3827.49,4.08,57.78,80.79,-23.34,41.5,98.0
EURCHF,1h,DAY,2.8,2.5,1.2,45,31.1,0.27,-3834.37,3.83,101.85,169.69,-85.21,8.9,357.3
EURNZD,15m,DAY,2.5,2.5,2.8,65,44.6,0.35,-3862.72,4.18,71.45,164.85,-59.43,50.8,144.7
EURJPY,15m,DAY,2.2,1.5,1.2,132,39.4,0.59,-3877.27,5.51,107.72,118.48,-29.37,37.9,111.4
EURGBP,1h,DAY,2.0,2.0,0.7,163,46.0,0.71,-3881.06,4.73,128.11,153.29,-23.81,29.4,314.0
AUDCAD,15m,DAY,2.0,2.0,1.4,149,42.3,0.41,-3899.97,3.94,42.44,76.44,-26.17,47.0,121.2
EURAUD,15m,DAY,2.0,2.5,1.7,121,46.3,0.51,-3913.2,3.99,73.61,123.62,-32.34,50.4,152.6
NZDJPY,15m,DAY,2.0,1.5,1.8,149,35.6,0.46,-3923.01,4.03,62.07,75.13,-26.33,35.6,84.3
AUDNZD,15m,DAY,2.2,2.5,2.0,97,35.1,0.23,-3937.45,3.98,34.14,80.92,-40.59,43.3,137.6
EURCAD,1h,US,2.0,2.0,1.9,120,42.5,0.61,-3939.92,4.24,118.76,144.88,-32.83,22.5,282.0
EURJPY,1h,DAY,2.0,1.5,1.2,187,43.3,0.78,-3940.43,4.63,176.59,172.11,-21.07,21.9,335.6
EURCHF,15m,DAY,2.5,1.5,1.2,98,29.6,0.32,-3948.56,3.95,64.29,84.25,-40.29,32.7,75.2
EURJPY,15m,DAY,2.0,2.5,1.2,130,50.8,0.61,-3963.0,5.26,95.73,160.64,-30.48,53.1,155.5
EURUSD,1h,DAY,2.2,2.0,0.3,133,45.9,0.75,-3973.72,6.01,193.54,219.16,-29.88,25.6,347.4
USDJPY,1h,US,2.2,2.5,1.0,61,44.3,0.46,-3980.33,4.69,125.0,216.33,-65.25,9.8,304.9
NZDCAD,1h,DAY,2.5,1.5,1.8,69,30.4,0.33,-3992.19,4.1,92.02,123.43,-57.86,21.7,349.6
NZDUSD,1h,DAY,2.2,1.5,0.9,109,34.9,0.59,-3993.3,4.65,154.03,138.68,-36.64,20.2,346.8
CADCHF,15m,DAY,2.5,1.5,1.1,81,14.8,0.15,-4000.21,4.0,60.24,68.45,-49.39,17.3,67.6
GBPCAD,1h,DAY,2.5,2.5,2.2,85,43.5,0.63,-4004.23,4.31,185.52,226.43,-47.11,21.2,367.1
GBPCHF,1h,US,2.5,2.5,1.7,53,35.8,0.46,-4005.53,4.33,181.27,219.11,-75.58,9.4,329.4
EURUSD,1h,DAY,2.2,1.5,0.3,154,39.0,0.76,-4027.95,5.92,207.42,175.24,-26.16,22.1,284.0
AUDNZD,15m,DAY,2.2,2.0,2.0,106,33.0,0.23,-4028.97,4.05,33.95,73.48,-38.01,38.7,120.4
AUDNZD,1h,DAY,2.2,2.5,2.0,116,41.4,0.5,-4037.07,4.7,83.31,118.18,-34.8,35.3,497.6
NZDCAD,1h,DAY,2.5,2.0,1.8,61,34.4,0.31,-4041.87,4.12,87.52,146.99,-66.26,24.6,392.5
AUDNZD,1h,DAY,2.0,2.5,2.0,152,44.7,0.59,-4044.49,5.16,84.73,116.74,-26.61,37.5,482.4
AUDNZD,15m,DAY,2.2,1.5,2.0,123,28.5,0.26,-4051.82,4.09,40.84,62.29,-32.94,30.9,88.9
NZDUSD,1h,DAY,2.0,2.5,0.9,129,45.7,0.67,-4051.86,4.75,140.69,176.47,-31.41,30.2,442.3
EURCHF,15m,DAY,2.5,2.0,1.2,85,32.9,0.28,-4055.27,4.06,56.84,99.07,-47.71,38.8,101.8
USDJPY,1h,DAY,3.0,2.0,1.0,30,33.3,0.25,-4058.82,4.51,137.17,271.53,-135.29,10.0,366.0
CADCHF,1h,US,2.5,2.0,1.1,70,40.0,0.43,-4073.83,4.07,107.68,168.79,-58.2,15.7,257.1
USDCHF,1h,DAY,2.2,2.5,0.6,119,48.7,0.75,-4096.57,4.86,206.39,263.39,-34.42,27.7,369.1
NZDCAD,1h,DAY,2.5,2.5,1.8,59,35.6,0.31,-4111.93,4.32,88.24,156.97,-69.69,27.1,453.6
EURNZD,1h,DAY,2.2,1.5,2.8,129,43.4,0.72,-4122.27,4.75,191.44,203.32,-31.96,29.5,374.9
GBPCAD,1h,DAY,2.5,2.0,2.2,88,42.0,0.63,-4137.25,4.43,190.23,219.13,-47.01,19.3,313.6
EURGBP,15m,DAY,2.0,1.5,0.7,178,34.8,0.45,-4137.88,4.26,55.19,65.17,-23.25,36.5,86.0
GBPNZD,1h,DAY,2.8,2.0,3.0,31,29.0,0.4,-4164.37,4.6,305.07,314.09,-134.33,16.1,429.7
AUDCHF,15m,DAY,2.2,2.0,1.0,99,30.3,0.23,-4167.15,4.17,41.87,78.6,-42.09,42.4,130.3
NZDUSD,15m,DAY,2.0,1.5,0.9,167,34.7,0.49,-4171.46,4.58,70.19,75.62,-24.98,34.7,96.5
CADCHF,1h,US,2.2,2.5,1.1,83,39.8,0.48,-4182.8,4.18,115.32,159.76,-50.4,16.9,295.7
GBPCHF,1h,US,2.5,1.5,1.7,61,37.7,0.48,-4190.25,4.52,164.92,210.09,-68.69,6.6,265.6
EURGBP,1h,DAY,2.0,1.5,0.7,191,42.4,0.71,-4190.82,5.04,126.13,130.98,-21.94,25.7,271.4
GBPAUD,15m,US,2.0,2.5,2.7,53,37.7,0.28,-4192.67,4.22,80.59,175.89,-79.11,39.6,145.8
NZDUSD,1h,DAY,2.0,2.0,0.9,136,43.4,0.66,-4195.45,4.89,141.02,162.54,-30.85,27.9,410.7
NZDCHF,1h,DAY,2.0,2.0,1.5,122,37.7,0.51,-4208.21,4.25,94.02,112.28,-34.49,32.8,390.0
EURCHF,15m,DAY,2.5,2.5,1.2,80,36.2,0.27,-4216.44,4.29,54.19,113.49,-52.71,43.8,118.5
EURGBP,1h,DAY,2.0,2.5,0.7,147,47.6,0.66,-4220.01,5.08,117.16,161.32,-28.71,32.7,351.8
EURCAD,1h,US,2.0,2.5,1.9,109,44.0,0.57,-4220.08,4.5,115.89,160.37,-38.72,23.9,308.3
EURCAD,1h,US,2.0,1.5,1.9,132,40.2,0.61,-4225.47,4.53,123.66,136.45,-32.01,20.5,240.5
AUDCHF,1h,US,2.0,2.0,1.0,86,31.4,0.46,-4240.1,4.24,134.07,133.22,-49.3,10.5,289.5
GBPCHF,1h,US,2.5,2.0,1.7,57,35.1,0.47,-4290.32,4.62,189.03,218.13,-75.27,8.8,298.9
GBPUSD,1h,US,2.2,2.5,0.8,91,47.3,0.69,-4310.49,5.81,222.12,288.78,-47.37,16.5,329.0
GBPCHF,1h,DAY,2.8,2.5,1.7,44,31.8,0.4,-4312.38,4.31,209.33,241.43,-98.01,9.1,403.6
EURJPY,1h,DAY,2.0,2.0,1.2,166,47.6,0.77,-4316.5,4.95,179.75,212.84,-26.0,25.9,398.7
EURCHF,15m,DAY,2.2,2.5,1.2,113,42.5,0.37,-4337.36,4.35,52.79,105.71,-38.38,50.4,113.6
GBPNZD,15m,DAY,2.5,1.5,3.0,72,33.3,0.32,-4338.47,4.43,85.27,133.02,-60.26,33.3,95.4
EURCAD,1h,DAY,2.5,2.5,1.9,86,37.2,0.49,-4339.88,4.87,128.6,156.57,-50.46,20.9,364.9
CADCHF,15m,DAY,2.2,2.0,1.1,112,33.9,0.27,-4349.31,4.41,43.19,80.95,-38.83,41.1,100.7
AUDCHF,1h,US,2.0,2.5,1.0,80,32.5,0.43,-4349.96,4.47,128.19,142.28,-54.37,12.5,309.0
GBPNZD,15m,DAY,2.5,2.0,3.0,62,40.3,0.32,-4364.71,4.42,82.12,173.45,-70.4,40.3,124.4
EURCAD,1h,DAY,2.5,1.5,1.9,102,32.4,0.52,-4402.12,4.95,144.31,132.82,-43.16,17.6,271.2
GBPNZD,1h,DAY,2.8,2.5,3.0,31,32.3,0.38,-4412.48,5.01,276.16,341.62,-142.34,16.1,493.5
GBPJPY,15m,DAY,2.0,2.5,2.1,118,51.7,0.63,-4413.7,5.24,123.68,209.8,-37.4,52.5,142.0
EURCAD,15m,DAY,2.2,2.0,1.9,118,36.4,0.39,-4417.42,4.42,65.13,96.24,-37.44,41.5,108.2
GBPJPY,15m,DAY,2.0,2.0,2.1,126,44.4,0.64,-4418.79,5.15,137.97,173.5,-35.07,43.7,119.6
NZDUSD,1h,DAY,2.0,1.5,0.9,152,38.2,0.66,-4422.42,5.03,145.0,136.52,-29.09,23.7,344.6
GBPUSD,1h,DAY,2.2,1.5,0.8,155,42.6,0.8,-4422.64,5.73,263.44,245.05,-28.53,21.3,287.6
USDJPY,15m,DAY,2.0,2.5,1.0,139,50.4,0.58,-4455.99,4.75,86.77,152.6,-32.06,52.5,143.2
USDJPY,1h,US,2.0,1.5,1.0,85,36.5,0.49,-4456.37,4.99,138.48,162.02,-52.43,10.6,250.6
EURCHF,1h,DAY,2.5,1.5,1.2,95,31.6,0.46,-4477.68,4.62,127.64,127.8,-47.13,13.7,279.2
NZDCAD,15m,DAY,2.2,2.5,1.8,93,32.3,0.23,-4488.48,4.62,43.51,91.97,-48.26,43.0,146.1
EURCHF,1h,DAY,2.5,2.0,1.2,87,34.5,0.46,-4488.58,4.65,126.43,145.29,-51.59,16.1,324.8
USDJPY,1h,DAY,2.8,1.5,1.0,54,31.5,0.39,-4492.9,4.72,171.98,200.45,-83.2,9.3,338.9
GBPNZD,1h,DAY,2.5,2.0,3.0,63,39.7,0.57,-4493.39,5.63,239.63,275.9,-71.32,25.4,478.1
EURCHF,15m,DAY,2.2,2.0,1.2,124,37.9,0.37,-4494.42,4.49,55.84,92.46,-36.25,44.4,98.8
CADCHF,1h,DAY,2.5,2.5,1.1,85,41.2,0.47,-4517.48,4.52,113.53,169.82,-53.15,23.5,343.1
NZDCHF,1h,DAY,2.0,1.5,1.5,134,35.1,0.51,-4535.88,4.61,99.98,106.15,-33.85,28.4,323.7
NZDCHF,15m,DAY,2.2,2.0,1.5,96,29.2,0.13,-4557.99,4.56,25.23,77.42,-47.48,38.5,110.5
GBPUSD,1h,DAY,2.2,2.0,0.8,139,46.8,0.79,-4560.57,5.96,259.43,289.51,-32.81,24.5,334.5
GBPUSD,1h,DAY,2.0,2.0,0.8,165,46.7,0.81,-4597.72,5.9,252.96,273.59,-27.86,26.1,327.6
GBPCHF,15m,US,2.0,2.0,1.7,57,36.8,0.3,-4611.77,4.67,92.35,181.98,-80.91,35.1,122.9
EURUSD,1h,DAY,2.0,2.5,0.3,149,47.7,0.75,-4612.24,6.65,194.86,236.5,-30.95,32.9,374.1
AUDCHF,1h,DAY,2.0,1.5,1.0,151,36.4,0.63,-4615.57,4.68,145.5,131.44,-30.57,21.9,317.5
NZDCAD,15m,DAY,2.2,2.0,1.8,104,29.8,0.23,-4617.51,4.75,44.39,82.11,-44.4,34.6,121.0
EURCAD,1h,DAY,2.5,2.0,1.9,94,35.1,0.49,-4668.35,5.18,138.56,151.49,-49.66,17.0,311.5
EURCAD,15m,DAY,2.0,2.5,1.9,133,45.1,0.42,-4669.39,4.75,56.2,110.16,-35.11,51.1,127.0
GBPJPY,1h,DAY,2.0,2.0,2.1,150,48.0,0.78,-4672.21,7.59,229.53,271.77,-31.15,25.3,384.4
GBPAUD,15m,US,2.0,1.5,2.7,68,25.0,0.25,-4691.52,4.72,94.07,123.35,-68.99,25.0,92.4
USDJPY,1h,US,2.0,2.0,1.0,79,44.3,0.48,-4700.15,5.12,123.97,205.43,-59.5,12.7,288.6
AUDCAD,1h,DAY,2.0,1.5,1.4,169,43.8,0.62,-4706.17,5.1,101.98,128.98,-27.85,24.9,332.0
AUDCHF,15m,DAY,2.2,1.5,1.0,119,27.7,0.23,-4707.56,4.71,42.26,70.95,-39.56,31.1,105.9
EURNZD,1h,DAY,2.2,2.5,2.8,112,50.9,0.69,-4724.07,5.0,188.24,280.98,-42.18,37.5,477.9
AUDNZD,1h,DAY,2.2,1.5,2.0,134,34.3,0.47,-4739.21,4.99,90.22,101.01,-35.37,25.4,355.5
GBPCHF,15m,US,2.0,2.5,1.7,53,37.7,0.29,-4743.82,4.79,96.35,202.15,-89.51,39.6,147.7
GBPAUD,1h,DAY,2.2,1.5,2.7,136,36.0,0.74,-4751.6,4.93,275.52,209.8,-34.94,22.1,336.6
EURCAD,1h,DAY,2.2,2.5,1.9,124,44.4,0.6,-4771.75,5.77,131.22,173.75,-38.48,29.8,349.8
EURCAD,15m,DAY,2.2,1.5,1.9,135,28.9,0.37,-4773.13,4.77,71.5,78.77,-35.36,31.1,85.4
CADCHF,15m,DAY,2.2,2.5,1.1,101,36.6,0.24,-4777.96,4.84,39.98,97.77,-47.31,43.6,120.4
GBPNZD,1h,DAY,2.5,2.5,3.0,62,40.3,0.56,-4780.92,6.06,239.7,291.18,-77.11,25.8,535.2
NZDCHF,15m,DAY,2.2,1.5,1.5,109,23.9,0.14,-4795.07,4.8,31.2,67.55,-43.99,28.4,83.0
USDJPY,1h,DAY,2.8,2.0,1.0,51,37.3,0.41,-4802.99,5.02,172.43,252.47,-94.18,13.7,390.6
GBPCHF,1h,DAY,2.8,1.5,1.7,49,28.6,0.39,-4809.94,4.81,223.66,226.89,-98.16,8.2,292.7
AUDCAD,15m,DAY,2.0,1.5,1.4,175,34.3,0.37,-4821.75,4.86,46.21,66.04,-27.55,34.3,92.6
CADCHF,1h,DAY,2.5,1.5,1.1,97,37.1,0.44,-4831.29,4.83,105.26,141.32,-49.81,16.5,256.7
GBPJPY,15m,DAY,2.0,1.5,2.1,147,38.8,0.63,-4843.57,5.48,145.2,145.78,-32.95,38.1,96.3
AUDNZD,15m,DAY,2.0,2.5,2.0,133,36.1,0.26,-4888.03,4.93,36.15,77.92,-36.75,45.9,134.9
GBPCAD,15m,DAY,2.0,2.5,2.2,127,46.5,0.52,-4905.44,5.13,89.85,150.1,-38.63,50.4,120.4
USDCHF,1h,US,2.0,1.5,0.6,129,39.5,0.67,-4907.09,5.53,197.12,191.8,-38.04,15.5,246.0
GBPCHF,15m,DAY,2.5,2.0,1.7,76,35.5,0.33,-4918.51,4.92,88.82,149.32,-64.72,36.8,90.0
CADCHF,1h,US,2.2,2.0,1.1,93,37.6,0.43,-4922.01,4.92,107.59,149.78,-52.92,14.0,263.2
USDJPY,1h,US,2.0,2.5,1.0,73,43.8,0.46,-4926.78,5.7,132.39,223.49,-67.49,13.7,310.7
GBPCAD,15m,DAY,2.0,1.5,2.2,164,35.4,0.53,-4929.08,5.07,95.86,98.95,-30.06,37.2,76.9
USDCHF,1h,US,2.0,2.0,0.6,117,41.9,0.66,-4931.38,5.39,197.66,214.95,-42.15,17.1,279.0
AUDNZD,1h,DAY,2.2,2.0,2.0,125,39.2,0.45,-4933.03,4.99,82.39,118.03,-39.46,30.4,446.9
AUDNZD,1h,DAY,2.0,2.0,2.0,164,42.7,0.54,-4933.55,5.55,83.61,114.75,-30.08,32.9,439.8
EURJPY,1h,DAY,2.2,2.5,1.2,120,50.0,0.68,-4961.42,6.16,171.86,254.55,-41.35,24.2,455.5
USDJPY,1h,DAY,3.0,2.5,1.0,28,32.1,0.21,-4964.76,5.41,150.87,332.77,-177.31,10.7,424.3
AUDCHF,1h,DAY,2.0,2.5,1.0,127,39.4,0.58,-4967.05,5.31,137.06,153.51,-39.11,27.6,419.1
CADCHF,1h,US,2.2,1.5,1.1,104,35.6,0.42,-4990.2,4.99,98.57,128.91,-47.98,10.6,226.7
NZDCAD,15m,DAY,2.2,1.5,1.8,125,24.0,0.23,-5005.07,5.14,50.21,68.54,-40.04,25.6,86.3
AUDCHF,15m,DAY,2.0,2.5,1.0,118,36.4,0.25,-5022.29,5.02,39.88,89.83,-42.56,48.3,157.8
EURNZD,15m,DAY,2.2,1.5,2.8,126,35.7,0.43,-5029.08,5.06,83.08,108.24,-39.91,36.5,95.8
GBPCHF,15m,DAY,2.5,1.5,1.7,87,28.7,0.32,-5029.91,5.08,93.83,118.96,-57.82,28.7,69.1
EURAUD,15m,DAY,2.0,2.0,1.7,134,39.6,0.44,-5060.44,5.14,76.19,112.33,-37.76,41.8,123.8
CADCHF,15m,DAY,2.2,1.5,1.1,136,25.7,0.25,-5065.22,5.13,48.75,67.04,-37.24,28.7,70.6
GBPAUD,15m,US,2.0,2.0,2.7,62,32.3,0.26,-5082.66,5.11,87.19,162.54,-81.98,30.6,119.5
GBPUSD,1h,DAY,2.0,1.5,0.8,182,41.2,0.79,-5116.77,6.1,262.27,231.65,-28.11,23.1,280.5
EURCHF,1h,DAY,2.5,2.5,1.2,81,34.6,0.38,-5128.38,5.24,111.11,155.46,-63.31,16.0,357.0
USDJPY,1h,DAY,2.5,1.5,1.0,99,37.4,0.55,-5142.69,5.6,169.95,184.37,-51.95,15.2,341.8
AUDNZD,15m,DAY,2.0,2.0,2.0,146,33.6,0.25,-5143.89,5.16,34.82,70.62,-35.23,39.7,116.8
EURAUD,15m,DAY,2.0,1.5,1.7,157,33.1,0.46,-5167.37,5.17,84.39,91.01,-32.91,35.0,95.8
GBPNZD,1h,DAY,2.5,1.5,3.0,69,36.2,0.55,-5175.39,5.65,256.89,263.58,-75.01,21.7,364.3
GBPAUD,1h,US,2.2,1.5,2.7,77,32.5,0.46,-5197.89,5.74,175.6,184.38,-67.51,9.1,266.5
GBPNZD,15m,DAY,2.5,2.5,3.0,60,40.0,0.26,-5242.64,5.3,78.75,198.13,-87.38,41.7,146.2
GBPUSD,1h,US,2.0,2.0,0.8,113,44.2,0.67,-5249.28,6.31,216.68,255.29,-46.45,15.0,304.8
USDJPY,15m,DAY,2.0,2.0,1.0,157,43.3,0.55,-5271.72,5.52,96.45,132.92,-33.58,43.9,118.0
GBPCAD,15m,DAY,2.0,2.0,2.2,146,40.4,0.51,-5303.51,5.43,95.4,125.65,-36.33,43.8,97.0
CADCHF,1h,US,2.0,2.5,1.1,102,38.2,0.45,-5305.45,5.31,111.29,153.1,-52.01,17.6,305.3
NZDCAD,1h,DAY,2.2,1.5,1.8,115,34.8,0.43,-5307.54,5.4,100.45,124.34,-46.15,23.5,342.3
NZDCAD,1h,DAY,2.2,2.0,1.8,102,41.2,0.42,-5314.16,5.4,92.32,153.19,-52.1,27.5,396.5
GBPCHF,1h,DAY,2.8,2.0,1.7,46,28.3,0.36,-5319.7,5.32,225.33,249.97,-115.65,8.7,352.2
NZDCAD,1h,DAY,2.2,2.5,1.8,95,42.1,0.41,-5330.62,5.42,93.88,165.2,-56.11,30.5,447.2
EURNZD,15m,DAY,2.2,2.0,2.8,112,41.1,0.41,-5337.88,5.45,79.21,136.08,-47.66,43.8,124.4
EURCHF,1h,US,2.2,1.5,1.2,99,29.3,0.4,-5347.09,5.48,120.82,126.44,-54.01,7.1,239.4
EURCHF,15m,DAY,2.2,1.5,1.2,149,30.9,0.34,-5349.25,5.35,60.09,78.77,-35.9,32.9,69.6
AUDCHF,1h,DAY,2.0,2.0,1.0,140,37.9,0.59,-5366.17,5.37,146.99,151.23,-38.33,24.3,368.1
EURCAD,1h,DAY,2.2,2.0,1.9,137,40.9,0.59,-5375.22,6.3,138.36,162.02,-39.24,25.5,304.8
GBPCHF,15m,US,2.0,1.5,1.7,66,25.8,0.24,-5380.86,5.39,98.32,143.93,-81.53,24.2,95.5
EURNZD,15m,DAY,2.2,2.5,2.8,104,46.2,0.39,-5386.94,5.47,72.3,158.17,-51.8,51.0,143.7
CADCHF,1h,DAY,2.5,2.0,1.1,94,39.4,0.43,-5396.6,5.4,110.8,166.6,-57.41,20.2,298.7
AUDNZD,1h,DAY,2.0,1.5,2.0,180,37.2,0.53,-5417.6,6.01,89.38,100.94,-30.1,26.7,356.0
EURCAD,1h,DAY,2.2,1.5,1.9,153,37.3,0.59,-5447.74,6.32,139.96,139.85,-35.61,22.2,260.4
GBPAUD,1h,DAY,2.0,2.5,2.7,140,45.7,0.75,-5461.1,5.77,258.02,289.14,-39.01,30.7,425.6
EURCAD,1h,DAY,2.0,2.5,1.9,145,45.5,0.6,-5471.49,6.09,125.67,174.25,-37.73,31.7,357.5
USDCHF,1h,DAY,2.0,2.0,0.6,169,45.0,0.74,-5477.24,6.08,207.22,228.23,-32.41,26.6,323.4
NZDCHF,15m,DAY,2.0,2.5,1.5,122,32.0,0.19,-5519.52,5.52,33.96,82.46,-45.24,45.9,130.5
EURJPY,15m,DAY,2.0,1.5,1.2,167,37.1,0.53,-5544.77,6.61,101.77,112.9,-33.2,37.1,110.0
NZDCAD,15m,DAY,2.0,2.5,1.8,121,34.7,0.23,-5547.27,5.68,39.47,91.2,-45.85,43.8,140.6
AUDCHF,15m,DAY,2.0,2.0,1.0,134,31.3,0.24,-5572.72,5.57,42.73,80.08,-41.59,41.0,128.1
GBPAUD,1h,US,2.2,2.5,2.7,65,36.9,0.41,-5586.84,6.38,162.47,231.37,-85.95,10.8,327.7
CADCHF,15m,DAY,2.0,2.5,1.1,127,37.0,0.25,-5599.64,5.66,39.98,93.49,-44.09,44.9,118.0
GBPUSD,1h,US,2.0,1.5,0.8,123,39.0,0.67,-5603.45,6.49,232.4,223.45,-45.56,13.8,266.3
USDJPY,15m,DAY,2.0,1.5,1.0,186,36.0,0.55,-5607.0,5.89,102.37,104.75,-30.15,35.5,96.1
NZDCAD,15m,DAY,2.0,2.0,1.8,140,32.9,0.26,-5608.5,5.74,42.56,80.49,-40.06,37.9,117.3
CADCHF,15m,DAY,2.0,2.0,1.1,140,32.9,0.26,-5612.67,5.68,41.88,80.21,-40.09,40.0,99.1
GBPAUD,1h,US,2.2,2.0,2.7,70,34.3,0.41,-5628.23,6.54,159.81,205.73,-80.4,10.0,302.6
USDCHF,1h,DAY,2.2,1.5,0.6,143,39.2,0.68,-5634.27,6.18,215.38,203.4,-39.4,19.6,271.5
EURCHF,1h,US,2.2,2.0,1.2,90,31.1,0.37,-5637.26,5.79,119.88,145.06,-62.64,7.8,276.7
USDCHF,1h,US,2.0,2.5,0.6,108,45.4,0.64,-5642.06,6.09,200.72,262.32,-52.24,18.5,305.0
