symbol,tf,session,sigma,sl_atr,spread,trades,wr,pf,pnl,mdd,avg_win,avg_loss,exp,mid_pct,avg_dur
CADCHF,1h,DAY,2.8,1.5,1.1,55,38.2,0.48,-2491.35,2.62,109.27,140.77,-45.3,16.4,281.5
NZDCHF,15m,US,2.0,1.5,1.5,65,27.7,0.19,-2509.03,2.53,32.26,65.74,-38.6,33.8,102.7
EURUSD,1h,DAY,2.5,1.5,0.3,107,40.2,0.79,-2519.48,4.76,216.7,184.96,-23.55,22.4,290.5
GBPNZD,15m,DAY,2.8,2.5,3.0,28,35.7,0.22,-2523.91,2.52,69.76,178.97,-90.14,39.3,178.4
CADCHF,1h,DAY,3.0,2.5,1.1,28,25.0,0.24,-2526.77,2.53,116.81,159.26,-90.24,14.3,368.6
EURJPY,1h,DAY,2.8,2.5,1.2,53,50.9,0.67,-2534.44,3.08,191.05,295.88,-47.82,17.0,448.3
EURGBP,15m,DAY,2.0,2.5,0.7,133,51.9,0.56,-2534.62,2.85,46.33,89.56,-19.06,57.1,129.8
NZDCAD,1h,US,2.2,2.0,1.8,43,32.6,0.3,-2536.91,2.58,79.3,125.76,-59.0,7.0,307.0
NZDUSD,1h,DAY,2.5,2.5,0.9,64,45.3,0.6,-2537.12,3.28,129.34,179.66,-39.64,26.6,455.6
NZDCAD,1h,DAY,2.8,2.5,1.8,22,27.3,0.18,-2539.91,2.67,92.99,193.62,-115.45,18.2,529.1
GBPNZD,15m,DAY,2.8,1.5,3.0,33,24.2,0.19,-2542.47,2.6,76.22,126.09,-77.04,24.2,107.3
EURCHF,15m,US,2.2,1.5,1.2,48,29.2,0.25,-2544.97,2.54,61.87,100.33,-53.02,33.3,89.7
EURCHF,1h,US,2.8,2.5,1.2,32,31.2,0.36,-2550.41,2.83,146.46,182.5,-79.7,9.4,290.6
AUDCHF,1h,DAY,2.2,2.5,1.0,98,45.9,0.7,-2580.81,3.04,135.17,163.46,-26.33,29.6,415.1
EURCAD,1h,US,2.5,2.5,1.9,65,35.4,0.53,-2588.26,2.97,127.74,131.58,-39.82,18.5,318.5
NZDCAD,1h,US,2.0,2.0,1.8,73,37.0,0.47,-2588.89,2.61,86.57,107.09,-35.46,16.4,299.2
USDCHF,1h,DAY,2.5,1.5,0.6,95,38.9,0.78,-2589.01,3.49,253.96,206.65,-27.25,17.9,274.1
GBPCHF,1h,DAY,3.0,1.5,1.7,25,32.0,0.37,-2593.33,2.59,194.46,244.06,-103.73,8.0,319.2
NZDCAD,1h,DAY,2.8,2.0,1.8,22,22.7,0.17,-2595.86,2.73,104.35,183.39,-117.99,13.6,420.0
EURGBP,1h,DAY,2.5,2.5,0.7,96,50.0,0.69,-2599.82,3.11,123.4,177.57,-27.08,30.2,352.5
EURCHF,1h,DAY,3.0,2.5,1.2,32,28.1,0.32,-2608.52,2.61,139.19,167.88,-81.52,9.4,354.4
GBPNZD,1h,DAY,3.0,2.5,3.0,17,35.3,0.37,-2616.88,3.17,256.2,377.64,-153.93,11.8,532.9
GBPCHF,15m,DAY,2.8,2.0,1.7,41,34.1,0.36,-2622.16,2.62,103.72,150.9,-63.96,34.1,73.5
AUDCAD,1h,DAY,2.2,2.0,1.4,116,46.6,0.7,-2636.4,2.98,113.47,141.35,-22.73,26.7,390.0
EURCHF,15m,US,2.0,2.5,1.2,46,37.0,0.27,-2637.79,2.64,58.36,125.17,-57.34,47.8,141.8
AUDCHF,15m,DAY,2.5,2.0,1.0,61,29.5,0.22,-2640.08,2.64,42.37,79.13,-43.28,41.0,135.2
EURAUD,1h,US,2.0,1.5,1.7,90,41.1,0.67,-2645.22,4.43,147.53,152.91,-29.39,11.1,287.3
CADCHF,15m,US,2.0,1.5,1.1,55,29.1,0.24,-2667.96,2.75,52.97,90.14,-48.51,30.9,88.6
GBPCAD,15m,DAY,2.2,2.5,2.2,105,48.6,0.65,-2684.71,3.11,99.54,143.73,-25.57,52.4,120.3
EURGBP,1h,DAY,2.2,2.5,0.7,129,51.2,0.75,-2686.78,3.63,121.24,169.66,-20.83,33.3,354.0
EURAUD,15m,DAY,2.2,2.5,1.7,97,48.5,0.57,-2691.79,2.75,74.41,123.79,-27.75,51.5,152.6
