Symbol,Timeframe,Strategy,Trades,WinRate,Profit,PF,MDD,EV,Sharpe
CADCHF,H1,Asian Scalper,28,46.4,-345.7,0.68,-0.64,-12.35,-0.63
CADCHF,H1,Short Straddle,126,51.6,-2083.4,0.74,-2.08,-16.53,-1.33
CHFJPY,M5,Asian Scalper,63,84.1,356.6,1.32,-0.45,5.66,0.71
CHFJPY,M5,Short Straddle,135,77.8,-2273.6,0.61,-2.79,-16.84,-1.62
CHFJPY,M15,Asian Scalper,71,76.1,736.9,1.31,-0.86,10.38,0.83
CHFJPY,M15,Short Straddle,146,80.8,1653.8,1.27,-1.2,11.33,0.96
CHFJPY,M30,Asian Scalper,23,60.9,235.7,1.24,-0.79,10.25,0.44
CHFJPY,M30,Short Straddle,102,67.6,-1449.9,0.82,-2.04,-14.21,-0.77
CHFJPY,H1,Asian Scalper,40,47.5,-1826.4,0.58,-2.43,-45.66,-1.45
CHFJPY,H1,Short Straddle,150,62.0,-12.2,1.0,-3.25,-0.08,-0.0
