方案,特徵描述,交易筆數,勝率(WR),獲利因子(PF),實質總淨利,年化報酬率,最大回撤($),最大回撤(%),夏普比率(Sharpe),索提諾(Sortino),卡瑪比率(Calmar),盈虧比(Payoff)
方案 A【純深夜收斂段】台北 00:00~04:30,專攻美股收盤前收斂 (MT5 19:00~23:30，04:45前清倉避換日),152,64.47%,1.9,"$4,209.90",5.26%,"-$1,501.59",-1.44%,1.99,2.89,3.65,1.05
方案 B【美盤前半黃金段】台北 18:00~00:00,專攻美盤午後收斂 (MT5 13:00~19:00，03:00前清倉避換日),211,64.45%,1.66,"$8,542.72",10.68%,"-$2,186.78",-2.01%,2.5,4.41,5.31,0.92
方案 C【美盤全時段大旗艦】台北 18:00~04:30,涵蓋美盤午後至深夜 (MT5 13:00~23:30，04:45前清倉避換日),493,57.2%,1.1,"$3,716.21",4.65%,"-$4,960.15",-4.67%,0.53,0.91,1.0,0.82
方案 D【全天分工收租旗艦】台北 06:15~04:30,白天亞洲通道 + 晚上美盤午後 (僅避開換日 04:45~06:15),312,65.71%,1.75,"$12,884.61",16.08%,"-$2,438.08",-2.2%,3.53,5.84,7.31,0.92
